bodyId,type,instance,class,superclass,somaSide,sensory_group
141266,JO-CA1,JO-CA1_L,mechanosensory,cb_sensory,,johnstons_organ
141560,JO-B3,JO-B3_L,mechanosensory,cb_sensory,,johnstons_organ
142423,JO-mz,JO-mz_L,mechanosensory,cb_sensory,,johnstons_organ
142804,JO-EV6,JO-EV6_L,mechanosensory,cb_sensory,,johnstons_organ
142818,JO-CM,JO-CM_L,mechanosensory,cb_sensory,,johnstons_organ
144112,JO-B4_a,JO-B4_a_L,mechanosensory,cb_sensory,,johnstons_organ
144457,JO-mz,JO-mz_L,mechanosensory,cb_sensory,,johnstons_organ
145000,JO-CL,JO-CL_L,mechanosensory,cb_sensory,,johnstons_organ
145198,JO-EV6,JO-EV6_L,mechanosensory,cb_sensory,,johnstons_organ
146314,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
147029,JO-EV2,JO-EV2_L,mechanosensory,cb_sensory,,johnstons_organ
148451,JO-ED2_a,JO-ED2_a_L,mechanosensory,cb_sensory,,johnstons_organ
149854,JO-B2,JO-B2_L,mechanosensory,cb_sensory,,johnstons_organ
149913,JO-B4_b,JO-B4_b_L,mechanosensory,cb_sensory,,johnstons_organ
150421,JO-B1_b,JO-B1_b_L,mechanosensory,cb_sensory,,johnstons_organ
151525,JO-mz,JO-mz_L,mechanosensory,cb_sensory,,johnstons_organ
153859,JO-B1_b,JO-B1_b_L,mechanosensory,cb_sensory,,johnstons_organ
154152,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
155912,JO-EV2,JO-EV2_L,mechanosensory,cb_sensory,,johnstons_organ
156929,JO-EV1,JO-EV1_L,mechanosensory,cb_sensory,,johnstons_organ
158576,JO-B1_b,JO-B1_b_L,mechanosensory,cb_sensory,,johnstons_organ
159517,JO-ED2_c,JO-ED2_c_L,mechanosensory,cb_sensory,,johnstons_organ
162166,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
162684,JO-EV1,JO-EV1_L,mechanosensory,cb_sensory,,johnstons_organ
163625,JO-EV2,JO-EV2_L,mechanosensory,cb_sensory,,johnstons_organ
168652,JO-B2,JO-B2_L,mechanosensory,cb_sensory,,johnstons_organ
168985,JO-unclear,JO-unclear_L,mechanosensory,cb_sensory,,johnstons_organ
169407,JO-EV1,JO-EV1_L,mechanosensory,cb_sensory,,johnstons_organ
170014,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
171008,JO-CA1,JO-CA1_L,mechanosensory,cb_sensory,,johnstons_organ
174217,JO-ED2_b,JO-ED2_b_R,mechanosensory,cb_sensory,,johnstons_organ
176004,JO-EV3,JO-EV3_L,mechanosensory,cb_sensory,,johnstons_organ
179637,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
181666,JO-ED2_a,JO-ED2_a_L,mechanosensory,cb_sensory,,johnstons_organ
183993,JO-FV,JO-FV_R,mechanosensory,cb_sensory,,johnstons_organ
188780,JO-FD2,JO-FD2_L,mechanosensory,cb_sensory,,johnstons_organ
190501,JO-ED2_a,JO-ED2_a_L,mechanosensory,cb_sensory,,johnstons_organ
190894,JO-B4_b,JO-B4_b_L,mechanosensory,cb_sensory,,johnstons_organ
192450,JO-CM,JO-CM_L,mechanosensory,cb_sensory,,johnstons_organ
194348,JO-EV2,JO-EV2_L,mechanosensory,cb_sensory,,johnstons_organ
195446,JO-B2,JO-B2_L,mechanosensory,cb_sensory,,johnstons_organ
196804,JO-EV3,JO-EV3_R,mechanosensory,cb_sensory,,johnstons_organ
200259,JO-FD2,JO-FD2_L,mechanosensory,cb_sensory,,johnstons_organ
200535,JO-ED2_c,JO-ED2_c_R,mechanosensory,cb_sensory,,johnstons_organ
205974,JO-B1_b,JO-B1_b_L,mechanosensory,cb_sensory,,johnstons_organ
207190,JO-ED2_a,JO-ED2_a_L,mechanosensory,cb_sensory,,johnstons_organ
207663,JO-B4_b,JO-B4_b_L,mechanosensory,cb_sensory,,johnstons_organ
208968,JO-EV3,JO-EV3_L,mechanosensory,cb_sensory,,johnstons_organ
210305,JO-B-unclear,JO-B-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
210416,JO-B1_c,JO-B1_c_L,mechanosensory,cb_sensory,,johnstons_organ
210632,JO-ED2_c,JO-ED2_c_L,mechanosensory,cb_sensory,,johnstons_organ
211443,JO-EV6,JO-EV6_R,mechanosensory,cb_sensory,,johnstons_organ
213338,JO-CA1,JO-CA1_R,mechanosensory,cb_sensory,,johnstons_organ
213985,JO-B1_a,JO-B1_a_L,mechanosensory,cb_sensory,,johnstons_organ
214264,JO-A-unclear,JO-A-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
214463,JO-unclear,JO-unclear_L,mechanosensory,cb_sensory,,johnstons_organ
215110,JO-ED2_a,JO-ED2_a_L,mechanosensory,cb_sensory,,johnstons_organ
217036,JO-EV5,JO-EV5_L,mechanosensory,cb_sensory,,johnstons_organ
218203,JO-EV6,JO-EV6_L,mechanosensory,cb_sensory,,johnstons_organ
218513,JO-FV,JO-FV_R,mechanosensory,cb_sensory,,johnstons_organ
219501,JO-EV1,JO-EV1_L,mechanosensory,cb_sensory,,johnstons_organ
220799,JO-CL,JO-CL_L,mechanosensory,cb_sensory,,johnstons_organ
223861,JO-CM,JO-CM_L,mechanosensory,cb_sensory,,johnstons_organ
224061,JO-FD2,JO-FD2_R,mechanosensory,cb_sensory,,johnstons_organ
224261,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
225878,JO-CA2,JO-CA2_L,mechanosensory,cb_sensory,,johnstons_organ
227318,JO-B-unclear,JO-B-unclear_R,mechanosensory,cb_sensory,,johnstons_organ
227655,JO-FV,JO-FV_L,mechanosensory,cb_sensory,,johnstons_organ
230852,JO-DP,JO-DP_L,mechanosensory,cb_sensory,,johnstons_organ
